date_ech;valeur
2018-09-24T02:00:00+02:00;3
2018-09-26T02:00:00+02:00;4
2018-09-28T02:00:00+02:00;4
2018-10-03T02:00:00+02:00;3
2018-10-08T02:00:00+02:00;4
2018-10-18T02:00:00+02:00;4
2018-10-23T02:00:00+02:00;3
2018-10-25T02:00:00+02:00;4
2018-06-15T02:00:00+02:00;4
2018-06-18T02:00:00+02:00;3
2018-06-23T02:00:00+02:00;4
2018-06-28T02:00:00+02:00;6
2018-07-09T02:00:00+02:00;3
2018-07-12T02:00:00+02:00;4
2018-07-17T02:00:00+02:00;4
2018-07-18T02:00:00+02:00;4
2018-07-19T02:00:00+02:00;5
2018-07-24T02:00:00+02:00;6
2018-07-26T02:00:00+02:00;8
2018-07-29T02:00:00+02:00;3
2018-08-03T02:00:00+02:00;8
2018-08-06T02:00:00+02:00;7
2018-08-07T02:00:00+02:00;6
2018-08-09T02:00:00+02:00;2
2018-03-26T02:00:00+02:00;5
2018-03-28T02:00:00+02:00;3
2018-04-04T02:00:00+02:00;4
2018-04-11T02:00:00+02:00;4
2018-04-13T02:00:00+02:00;5
2018-04-15T02:00:00+02:00;4
2018-04-16T02:00:00+02:00;4
2018-04-24T02:00:00+02:00;3
2018-04-28T02:00:00+02:00;3
2018-05-06T02:00:00+02:00;6
2018-05-09T02:00:00+02:00;5
2018-05-15T02:00:00+02:00;7
2018-05-18T02:00:00+02:00;4
2018-05-22T02:00:00+02:00;6
2018-05-24T02:00:00+02:00;5
2019-01-22T01:00:00+01:00;6
2019-01-27T01:00:00+01:00;3
2019-02-03T01:00:00+01:00;3
2019-02-08T01:00:00+01:00;3
2019-02-09T01:00:00+01:00;3
2019-02-15T01:00:00+01:00;5
2019-02-22T01:00:00+01:00;5
2019-02-27T01:00:00+01:00;7
2019-02-28T01:00:00+01:00;6
2019-03-11T01:00:00+01:00;4
2019-03-13T01:00:00+01:00;3
2019-03-24T01:00:00+01:00;4
2019-03-25T01:00:00+01:00;4
2019-03-31T01:00:00+01:00;7
2019-04-02T02:00:00+02:00;5
2019-04-04T02:00:00+02:00;4
2019-04-06T02:00:00+02:00;5
2019-06-25T02:00:00+02:00;7
2019-07-07T02:00:00+02:00;3
2019-07-12T02:00:00+02:00;4
2019-07-15T02:00:00+02:00;3
2019-07-16T02:00:00+02:00;4
2019-07-19T02:00:00+02:00;4
2019-07-22T02:00:00+02:00;4
2019-07-25T02:00:00+02:00;7
2019-07-26T02:00:00+02:00;7
2019-07-31T02:00:00+02:00;3
2019-08-03T02:00:00+02:00;4
2019-08-05T02:00:00+02:00;3
2019-08-09T02:00:00+02:00;3
2019-08-10T02:00:00+02:00;4
2019-08-11T02:00:00+02:00;3
2019-08-12T02:00:00+02:00;3
2019-08-17T02:00:00+02:00;2
2019-08-22T02:00:00+02:00;5
2019-08-27T02:00:00+02:00;6
2019-08-30T02:00:00+02:00;4
2019-09-04T02:00:00+02:00;3
2019-09-09T02:00:00+02:00;3
2019-04-11T02:00:00+02:00;4
2019-04-14T02:00:00+02:00;6
2019-04-17T02:00:00+02:00;7
2019-04-26T02:00:00+02:00;4
2019-04-29T02:00:00+02:00;4
2019-05-04T02:00:00+02:00;4
2019-05-06T02:00:00+02:00;3
2019-05-13T02:00:00+02:00;4
2019-05-17T02:00:00+02:00;5
2019-05-18T02:00:00+02:00;6
2019-05-19T02:00:00+02:00;5
2019-05-23T02:00:00+02:00;5
2019-05-27T02:00:00+02:00;3
2019-06-01T02:00:00+02:00;5
2019-06-03T02:00:00+02:00;4
2019-06-04T02:00:00+02:00;4
2019-06-06T02:00:00+02:00;4
2019-06-15T02:00:00+02:00;4
2019-06-17T02:00:00+02:00;3
2019-06-18T02:00:00+02:00;5
